VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB9J,Clark,Vancouver,WA,98684,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,17.0,142917442,POINT (-122.5476 45.62832),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041320
5YJ3E1EB2K,Snohomish,Snohomish,WA,98290,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,39.0,253875583,POINT (-122.09305 47.91265),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053605
5YJYGDEE8M,King,Sammamish,WA,98074,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,140872413,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032317
YV4BR0CK9M,King,Seattle,WA,98117,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,36.0,167358859,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003100
WA1G2AFY7M,King,Seattle,WA,98105,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,43.0,149038585,POINT (-122.31307 47.66127),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004500
7FCTGAAL0N,Snohomish,Bothell,WA,98021,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,209910718,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918
3FMTK3SS1M,King,Sammamish,WA,98075,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,147899013,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032217
JTDKARFP0H,Spokane,Spokane,WA,99217,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,7.0,474211510,POINT (-117.37056 47.70402),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063011203
1N4BZ0CP1H,King,Seattle,WA,98126,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,34.0,223401776,POINT (-121.97745 47.53433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011500
5YJ3E1EB0P,Douglas,East Wenatchee,WA,98802,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,12.0,223883082,POINT (-120.29473 47.41515),PUD NO 1 OF DOUGLAS COUNTY,53017950400
5YJ3E1EA9P,Pierce,Lakewood,WA,98499,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,28.0,220897477,POINT (-122.51495 47.16195),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053071902
KNDC3DLC1N,Pierce,Bonney Lake,WA,98391,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,31.0,220322539,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070208
3C3CFFGE5E,King,Seattle,WA,98105,2014,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,43.0,348032989,POINT (-122.31307 47.66127),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004401
7SAYGDEE3N,King,Sammamish,WA,98029,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,219545707,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032223
5YJYGDEE0M,King,Kirkland,WA,98034,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,148286400,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021903
WA1F2AFY7L,King,Seattle,WA,98112,2020,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,43.0,102278123,POINT (-122.30716 47.62687),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006200
LYVBR0DL1K,King,Mercer Island,WA,98040,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,41.0,154511689,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024301
7SAYGDEF3N,King,Snoqualmie,WA,98065,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,217935161,POINT (-121.82432 47.52716),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032603
WVWPP7AU3G,Kitsap,Bainbridge Island,WA,98110,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,23.0,257102009,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035091001
3FMTK4SXXN,Chelan,Leavenworth,WA,98826,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,12.0,220633087,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,53007960501
5YJYGDEE7L,King,Bellevue,WA,98027,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,41.0,126094643,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024902
WMW13DJ06N,King,Seattle,WA,98112,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43.0,171284193,POINT (-122.30716 47.62687),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007600
5YJ3E1EB9K,King,Redmond,WA,98052,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,48.0,477068749,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022902
7SAYGDEE7P,King,Issaquah,WA,98027,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,227219226,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032103
5YJSA1E63M,Yakima,Yakima,WA,98908,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14.0,192482783,POINT (-120.56916 46.58514),PACIFICORP,53077000402
KNDCC3LG5N,King,Renton,WA,98057,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,11.0,171372911,POINT (-122.20487 47.47532),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033026200
1G1FZ6S04M,Whatcom,Bellingham,WA,98229,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,40.0,156886922,POINT (-122.45516 48.74487),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000903
5YJYGDEE4M,Clark,Vancouver,WA,98684,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,17.0,179068795,POINT (-122.5476 45.62832),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041336
WDC0G5EB0K,King,Seattle,WA,98109,2019,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,10,0,43.0,196409545,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007303
5YJ3E1EA3N,Thurston,Yelm,WA,98597,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,20.0,219020854,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012510
5YJ3E1EB7J,King,Issaquah,WA,98027,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,5.0,474096521,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032104
7SAYGDEE3N,King,Bellevue,WA,98004,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48.0,195332273,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023806
JTDKN3DP6D,King,Bellevue,WA,98006,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,41.0,254015989,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024800
5YJ3E1EB3M,King,Seattle,WA,98115,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,46.0,148265946,POINT (-122.31765 47.70013),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003900
1N4AZ0CP2D,Snohomish,Bothell,WA,98021,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,1.0,119828054,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051932
1G1RA6S50H,Snohomish,Everett,WA,98203,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,38.0,160492993,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,53061041202
5YJ3E1EB1J,King,Bellevue,WA,98006,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,41.0,205934424,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025001
WBAJB1C52J,Thurston,Lacey,WA,98503,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,22.0,218197171,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011422
5YJXCAE4XK,King,Federal Way,WA,98023,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,30.0,131333338,POINT (-122.35206 47.30297),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030305
5YJXCDE29K,King,Bellevue,WA,98006,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,41.0,477163109,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025007
JN1AZ0CP4C,Kitsap,Bremerton,WA,98312,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,35.0,7038874,POINT (-122.66122 47.56573),PUGET SOUND ENERGY INC,53035091400
WBA8E1C32H,King,Mercer Island,WA,98040,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,41.0,196630143,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024302
5YJ3E1EA5K,King,Seattle,WA,98126,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,34.0,111878833,POINT (-121.97745 47.53433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010501
5YJ3E1EA2M,King,Mercer Island,WA,98040,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,147164370,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024500
1FADP5EU1H,Snohomish,Everett,WA,98201,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,38.0,119374272,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061040700
5YJ3E1EA0P,Clark,Vancouver,WA,98662,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,49.0,224335947,POINT (-122.57722 45.64251),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041203
